"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep4"	"DR_14"	"Mean"	0.214938013481684	0.600263580633565	NA	NA
"pep4"	"DR_14"	"Mode"	0.0834508168939879	0.600263580633565	NA	NA
"pep4"	"DR_14"	"Median"	0.183847702072131	0.600263580633565	NA	NA
"pep4"	"DR_7"	"Mean"	0.0919452280327711	1.36864803077513	NA	0
"pep4"	"DR_7"	"Mode"	0.00148329871222299	1.36864803077513	NA	0
"pep4"	"DR_7"	"Median"	0.0672175369089499	1.36864803077513	NA	0
"pep4"	"DR_8"	"Mean"	0.354049425836012	0.16712110887296	NA	NA
"pep4"	"DR_8"	"Mode"	0.0371031739814494	0.16712110887296	NA	NA
"pep4"	"DR_8"	"Median"	0.33105739080245	0.16712110887296	NA	NA
"pep4"	"DR_12"	"Mean"	0.404726920378419	0.0887689041111872	NA	NA
"pep4"	"DR_12"	"Mode"	0.300757852058502	0.0887689041111872	NA	NA
"pep4"	"DR_12"	"Median"	0.373036445463651	0.0887689041111872	NA	NA
"pep4"	"DR_10"	"Mean"	0.624662077433255	0.0984093093933089	NA	NA
"pep4"	"DR_10"	"Mode"	0.933368759461425	0.0984093093933089	NA	NA
"pep4"	"DR_10"	"Median"	0.69775062407913	0.0984093093933089	NA	NA
"pep4"	"DR_9"	"Mean"	0.603279263708608	0.071783803290799	NA	0
"pep4"	"DR_9"	"Mode"	0.966532959712628	0.071783803290799	NA	0
"pep4"	"DR_9"	"Median"	0.652691494779281	0.071783803290799	NA	0
"pep4"	"DQ_6"	"Mean"	0.0524643009934867	1.92524177430843	NA	NA
"pep4"	"DQ_6"	"Mode"	0.00140213023897443	1.92524177430843	NA	NA
"pep4"	"DQ_6"	"Median"	0.0386916780890302	1.92524177430843	NA	NA
"pep4"	"DQ_2"	"Mean"	0.0618330966454725	1.7629669117355	NA	NA
"pep4"	"DQ_2"	"Mode"	0.00133750640200546	1.7629669117355	NA	NA
"pep4"	"DQ_2"	"Median"	0.0454900362956344	1.7629669117355	NA	NA
"pep4"	"DQ_5"	"Mean"	0.0820920692531894	1.50595797927859	NA	NA
"pep4"	"DQ_5"	"Mode"	0.00655995782107183	1.50595797927859	NA	NA
"pep4"	"DQ_5"	"Median"	0.0654355959652071	1.50595797927859	NA	NA
"pep4"	"DQ_7"	"Mean"	0.0836769204687579	1.46441551423719	NA	NA
"pep4"	"DQ_7"	"Mode"	0.0003786702257289	1.46441551423719	NA	NA
"pep4"	"DQ_7"	"Median"	0.0616282412976785	1.46441551423719	NA	NA
"pep4"	"DQ_8"	"Mean"	0.131854869433682	1.06549159829292	NA	NA
"pep4"	"DQ_8"	"Mode"	0.0460363827313717	1.06549159829292	NA	NA
"pep4"	"DQ_8"	"Median"	0.110382657055091	1.06549159829292	NA	NA
"pep4"	"DQ_9"	"Mean"	0.330051164162667	0.218865379956349	NA	NA
"pep4"	"DQ_9"	"Mode"	0.196621979824427	0.218865379956349	NA	NA
"pep4"	"DQ_9"	"Median"	0.29920363009299	0.218865379956349	NA	NA
"pep5"	"DR_11"	"Mean"	0.148432240200118	0.914733645715883	NA	0
"pep5"	"DR_11"	"Mode"	0.0138167744737501	0.914733645715883	NA	0
"pep5"	"DR_11"	"Median"	0.117840078556997	0.914733645715883	NA	0
"pep5"	"DR_1"	"Mean"	0.0815144499452777	1.49240971368702	0	1
"pep5"	"DR_1"	"Mode"	0.00733134912731711	1.49240971368702	0	1
"pep5"	"DR_1"	"Median"	0.0605325614167254	1.49240971368702	0	1
"pep5"	"DR_4"	"Mean"	0.119595388459699	1.17517015140432	0	0
"pep5"	"DR_4"	"Mode"	0.033844678921176	1.17517015140432	0	0
"pep5"	"DR_4"	"Median"	0.102454396748498	1.17517015140432	0	0
