"Pep"	"Molec"	"What"	"Value"	"DKL"	"tg"	"ba"
"pep4"	"DRB1_08"	"Mode"	0.936362258457095	0.109058646874552	NA	NA
"pep4"	"DRB1_08"	"Median"	0.676846306945522	0.109058646874552	NA	NA
"pep4"	"DRB1_09"	"Mean"	0.347044902619075	0.201206152819533	NA	TRUE
"pep4"	"DRB1_09"	"Mode"	0.122708677076585	0.201206152819533	NA	TRUE
"pep4"	"DRB1_09"	"Median"	0.32394220382266	0.201206152819533	NA	TRUE
"pep4"	"DRB1_11"	"Mean"	0.301043910651781	0.27443363988651	NA	TRUE
"pep4"	"DRB1_11"	"Mode"	0.0108393852469317	0.27443363988651	NA	TRUE
"pep4"	"DRB1_11"	"Median"	0.262437351447725	0.27443363988651	NA	TRUE
"pep4"	"DRB1_12"	"Mean"	0.383747318614708	0.266914548490179	NA	NA
"pep4"	"DRB1_12"	"Mode"	0.421532312854204	0.266914548490179	NA	NA
"pep4"	"DRB1_12"	"Median"	0.384104335419717	0.266914548490179	NA	NA
"pep4"	"DRB1_14"	"Mean"	0.388376802066254	0.160990614910453	NA	NA
"pep4"	"DRB1_14"	"Mode"	0.352958102104797	0.160990614910453	NA	NA
"pep4"	"DRB1_14"	"Median"	0.378301902959941	0.160990614910453	NA	NA
"pep4"	"DRB1_1501"	"Mean"	0.379113798773357	0.159136572182629	FALSE	TRUE
"pep4"	"DRB1_1501"	"Mode"	0.250078202638752	0.159136572182629	FALSE	TRUE
"pep4"	"DRB1_1501"	"Median"	0.363867299519004	0.159136572182629	FALSE	TRUE
"pep4"	"DRB1_1502"	"Mean"	0.287399527876432	0.366787710381732	FALSE	TRUE
"pep4"	"DRB1_1502"	"Mode"	0.117980242344661	0.366787710381732	FALSE	TRUE
"pep4"	"DRB1_1502"	"Median"	0.263114235797306	0.366787710381732	FALSE	TRUE
"pep4"	"DRB1_16"	"Mean"	0.285876109189836	0.321628952089769	NA	NA
"pep4"	"DRB1_16"	"Mode"	0.0220073999987737	0.321628952089769	NA	NA
"pep4"	"DRB1_16"	"Median"	0.248630258086481	0.321628952089769	NA	NA
"pep4"	"DRB1_03"	"Mean"	0.560372432935529	0.0239845845520169	NA	FALSE
"pep4"	"DRB1_03"	"Mode"	0.983549741393661	0.0239845845520169	NA	FALSE
"pep4"	"DRB1_03"	"Median"	0.589913287752006	0.0239845845520169	NA	FALSE
"pep4"	"DQB1_02"	"Mean"	0.418645091109418	0.0865034589390545	NA	NA
"pep4"	"DQB1_02"	"Mode"	0.36091682085474	0.0865034589390545	NA	NA
